Symbol,"Number of Shares",Currency,"Buy/Sell Price USD","Buy/Sell Price Native Currency","Total Amount USD","Total Amount Native",Transaction
IBM,2,USD,158.289993,158.289993,316.579986,316.579986,BUY
IBM,1,USD,154.81,154.81,154.81,154.81,BUY


"Net Asset Value:",9993.04021
